Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches
1,1,AYU,vyAdhi-viniScayaH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,,,
17,17,SQ00 (AAB-1),atipralApaH (kEvalavAta),(a) atipralāpaḥ                       (a) pralāpakaḥ,अतिप्रलापः (केवलवात),,It is characterised by irrelevant and irrational talk mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.,
42,42,SP97 (AAB-26),klamaH (kEvalavAta),(a) klamaḥ,क्लमः (केवलवात),,It is characterised by feeling extreme exhaustion even without any physical effort work. This may be explained by: (a) Vitiation of all the three dosha seven elementary tissues and ojas.,
133,135,SK20(AAC-4),arditaH,(a) arditaḥ,अर्दितः,,It is characterised by deviation of one side of the face difficulty in speech loss of wrinkling non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face.,
254,256,SR16(ABA-1),pittasa~jcayaH,(a) pittasañcayaḥ,पित्तसञ्चयः,,It is characterized by yellowish discoloration of body and mild raised body temperature. This may be explained by accumulation of pittadosha at the designated site.,
267,270,SM10(ABB-9),AsyavipAkaH (kEvalapitta),(a) āsyavipākaḥ                     (a) mukhpākaḥ,आस्यविपाकः (केवलपित्त),,It is characterised by ulcer in the mouth tongue and spread towards oesophagus and stomach. This may be explained by: (a) Increased pittadosha affecting the mouth.,
325,328,SP96(ACB-3),Alasyam (kEvala-kapha),(a) ālasyam,आलस्यम् (केवल-कफ),,It is characterised by unwillngness to take be physically active and avoiding engaging in mentally active activities. This may be explained by: (a) Excess kapha obstruting the mental faculties and pitta for intellect.,
416,420,SP5B (BI),rAjayakShmA,(a) rājayakṣmā,राजयक्ष्मा,,It is characterised by continuous low grade fever for a prolonged period of time along with dry skin sunken cheeks and eyes anorexia gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.,
525,536,SM3B(EB-3),ajIrNam,(a) ajīrṇam,अजीर्णम्,,It is characterised by difficulty to digest food and may be associated with stomach pain bloating belching and hiccup. his may be explained by: (a) Vitiation of digestion by kapha pitta or vata.,
681,695,EC-1.1,navajvaraH,navajvaraḥ,नवज्वरः,,the disorder is characterized by burning sensation loss of appetite nausea bodyache headache and increased body temperature. This indicates the initial stage of fever.,
1028,1074,SM53 (EE-3),arSaH,(a) arśaḥ,अर्शः,,It is characterised by swollen and inflamed veins in the rectum and anus may be associated with itching pain discomfort and bleeding. This may be explained by: (a) Decreased digestive and metabolic factors vitation of vata kapha pitta affecting muscle fat tissue.,
1049,1095,SP71 (EE-4),granthiH,(a) granthi,ग्रन्थिः,,It is characterised by movable swelling with varying size from gram seed to watermelon. May be of different characters and constitutional symptoms. This may be explained by: (a) Involvement of all the three vitiated humours seven elementary tissues.,
1333,1399,SP19 (F-1),SiraHSUlaH,(a) śiraḥśūlaḥ,शिरःशूलः,,It is characterised by mild to severe unilateral or bilateral pain in the head that may be associated with vomiting nausea and sensitivity to light and sound. This may be explained by: (a) Vitiated vata affecting the head region.,
1477,1550,G-1,koThaH,,कोठः,,the disorder is characterized by skin discolouration irregular shape patches burning sensation itching and may be associated with fever. This is explained by vitiation of all three doshas affecting skin and blood.,
1750,1837,SP29 (H-1),kAmaLA,(a) kāmalā,कामला,,It is characterised by yellowish discolouration of conjunctiva skin and mucus membrane. This may be explained by: (a) Vitiation of pitta and kapha affecting liver functions.,
1775,1862,H-2.25,halImakaH,,हलीमकः,,the disorder is characterized by yellowish discoloration of eyes skin sclera and nails along with general weakness and loss of appetite.,
1879,1950,K-3,vAtajavraNaH,,वातजव्रणः,,the disorder is characterized by severe pain blackish discoloration dry rough base scanty thin discharge and delayed healing. This is due to predominant vitiation of vata dosha.,
